text1,text2,layer0_image_similarity,layer1_image_similarity,layer2_image_similarity,layer3_image_similarity,layer4_image_similarity,layer5_image_similarity,layer6_image_similarity,layer7_image_similarity,layer8_image_similarity,layer9_image_similarity,layer10_image_similarity,layer11_image_similarity,layer12_image_similarity
snail,cow,0.88877356,0.9223459,0.77742314,0.6583766,0.5580782,0.51306456,0.4954408,0.53889924,0.3959207,0.41087484,0.5022534,0.5817031,0.86568034
snail,worm,0.72262996,0.80542517,0.47721508,0.45263255,0.35220888,0.38547173,0.45663977,0.5503075,0.38588327,0.35322848,0.47997454,0.5535552,0.85036856
snake,lizard,0.63389146,0.81561375,0.75251174,0.78645796,0.7636848,0.7005084,0.6487584,0.68907726,0.6218479,0.51074296,0.5712527,0.6520546,0.87483543
sock,bathtub,0.9211118,0.93730366,0.81090283,0.7438293,0.6727413,0.6175086,0.5085897,0.54800314,0.434587,0.40284094,0.45184878,0.6126293,0.862068
squirrel,eagle,0.85492617,0.9440579,0.873011,0.8710031,0.79948235,0.7527338,0.6983448,0.73055667,0.6663405,0.6847261,0.7025304,0.75129396,0.9158491
squirrel,monkey,0.6931611,0.89946675,0.8514872,0.85314107,0.8005466,0.7562969,0.7265844,0.7482488,0.7193329,0.750575,0.8408472,0.86725116,0.9445118
swan,turkey,0.38623413,0.7535244,0.49433076,0.4828638,0.40183896,0.34222874,0.40215942,0.48033038,0.4048325,0.42183915,0.5213071,0.56508136,0.8599577
tractor,bulldozer,0.77981293,0.8340848,0.6776523,0.7401135,0.644724,0.6445689,0.6615618,0.6708375,0.5771326,0.57927895,0.6608398,0.67961544,0.89615124
tree,cloud,0.84070593,0.9192769,0.8444676,0.8243728,0.78429216,0.73478293,0.6611446,0.72755975,0.64522636,0.7137286,0.7467511,0.78492385,0.8977441
truck,airplane,0.81765366,0.8755978,0.7689569,0.7757703,0.72649056,0.62129647,0.5600471,0.5932281,0.47361106,0.3824908,0.5355161,0.6474569,0.87966734
truck,car,0.781838,0.89627045,0.7235196,0.76695,0.692522,0.63913184,0.59385526,0.64890236,0.5553194,0.50926065,0.5401596,0.62114704,0.8851174
turkey,goat,0.521185,0.7755667,0.5523197,0.5912674,0.51794404,0.54268986,0.5733393,0.68517786,0.6128102,0.59595156,0.5714626,0.6154523,0.8857997
turkey,swan,0.38623413,0.7535244,0.49433076,0.4828638,0.40183896,0.34222874,0.40215942,0.48033038,0.4048325,0.42183915,0.5213071,0.56508136,0.8599577
turtle,frog,0.7347079,0.78899765,0.4913818,0.5923232,0.527186,0.5065744,0.5253625,0.5778946,0.43371588,0.47571972,0.48607087,0.4947823,0.8531849
turtle,horse,0.82762295,0.86542904,0.67186236,0.73475504,0.64348197,0.59276426,0.5657819,0.58875453,0.48588017,0.44826573,0.31758383,0.46980643,0.84110194
walrus,lizard,0.824233,0.8324579,0.5137714,0.5360116,0.5427889,0.5317476,0.57046527,0.6224433,0.51931554,0.48604468,0.5982206,0.66650355,0.8566277
worm,snail,0.72262996,0.80542517,0.47721508,0.45263255,0.35220888,0.38547173,0.45663977,0.5503075,0.38588327,0.35322848,0.47997454,0.5535552,0.85036856
zipper,cloud,0.41752195,0.7745334,0.6232246,0.56776315,0.5365959,0.46318924,0.3949795,0.4775732,0.30184227,0.3997237,0.4987111,0.5969337,0.81918657
