Trials.trialID,Trials.targetImage,Trials.distractorImage,Trials.imagePair,image_similarity,text_similarity,multimodal_similarity,stimuli_id,row_id,MeanTargetSaliency,MeanDistractorSaliency,MeanSaliencyDiff,X.1,AoA_Est_target,AoA_Est_distractor,recognizability_target,recognizability_distractor,AoA_target_WB,AoA_distractor_WB,cor,animacy,wordPairing,section
hard-duck-chicken-distractor,chicken,duck,duck-chicken,NA,NA,NA,NA,NA,NA,NA,NA,28,3.26,3.5,NA,NA,NA,NA,NA,1,hard,sample2
hard-duck-chicken,duck,chicken,duck-chicken,NA,NA,NA,NA,NA,NA,NA,NA,28,3.5,3.26,NA,NA,NA,NA,NA,1,hard,sample2
easy-camel-ladybug-distractor,ladybug,camel,camel-ladybug,NA,NA,NA,NA,NA,NA,NA,NA,21,4.84,5.11,NA,NA,NA,NA,NA,1,easy,sample2
easy-bathtub-sock,bathtub,sock,bathtub-sock,NA,NA,NA,NA,NA,NA,NA,NA,19,3.22,2.94,NA,NA,NA,NA,NA,0,easy,sample2
easy-duck-butterfly,duck,butterfly,duck-butterfly,NA,NA,NA,NA,NA,NA,NA,NA,27,3.5,3.67,NA,NA,NA,NA,NA,1,easy,sample2
easy-cloud-zipper,cloud,zipper,cloud-zipper,NA,NA,NA,NA,NA,NA,NA,NA,23,3.63,5,NA,NA,NA,NA,NA,0,easy,sample2
hard-camel-elephant,camel,elephant,camel-elephant,NA,NA,NA,NA,NA,NA,NA,NA,22,5.11,4.8,NA,NA,NA,NA,NA,1,hard,sample2
easy-crow-seahorse,crow,seahorse,crow-seahorse,NA,NA,NA,NA,NA,NA,NA,NA,25,5.74,5.83,NA,NA,NA,NA,NA,1,easy,sample2
hard-bathtub-shower,bathtub,shower,bathtub-shower,NA,NA,NA,NA,NA,NA,NA,NA,20,3.22,4.72,NA,NA,NA,NA,NA,0,hard,sample2
easy-balloon-dresser-distractor,dresser,balloon,balloon-dresser,NA,NA,NA,NA,NA,NA,NA,NA,17,4.28,4.37,NA,NA,NA,NA,NA,0,easy,sample2
easy-balloon-dresser,balloon,dresser,balloon-dresser,NA,NA,NA,NA,NA,NA,NA,NA,17,4.37,4.28,NA,NA,NA,NA,NA,0,easy,sample2
easy-lizard-walrus-distractor,walrus,lizard,lizard-walrus,NA,NA,NA,NA,NA,NA,NA,NA,29,5.06,5.42,NA,NA,NA,NA,NA,1,easy,sample2
hard-lizard-snake,lizard,snake,lizard-snake,NA,NA,NA,NA,NA,NA,NA,NA,30,5.42,5.1,NA,NA,NA,NA,NA,1,hard,sample2
easy-duck-butterfly-distractor,butterfly,duck,duck-butterfly,NA,NA,NA,NA,NA,NA,NA,NA,27,3.67,3.5,NA,NA,NA,NA,NA,1,easy,sample2
hard-crow-penguin,crow,penguin,crow-penguin,NA,NA,NA,NA,NA,NA,NA,NA,26,5.74,5.68,NA,NA,NA,NA,NA,1,hard,sample2
hard-crow-penguin-distractor,penguin,crow,crow-penguin,NA,NA,NA,NA,NA,NA,NA,NA,26,5.68,5.74,NA,NA,NA,NA,NA,1,hard,sample2
easy-cloud-zipper-distractor,zipper,cloud,cloud-zipper,NA,NA,NA,NA,NA,NA,NA,NA,23,5,3.63,NA,NA,NA,NA,NA,0,easy,sample2
hard-balloon-kite,balloon,kite,balloon-kite,NA,NA,NA,NA,NA,NA,NA,NA,18,4.37,4.58,NA,NA,NA,NA,NA,0,hard,sample2
hard-cloud-tree-distractor,tree,cloud,cloud-tree,NA,NA,NA,NA,NA,NA,NA,NA,24,3.57,3.63,NA,NA,NA,NA,NA,0,hard,sample2
hard-truck-car-distractor,car,truck,truck-car,NA,NA,NA,NA,NA,NA,NA,NA,32,3.37,3.79,NA,NA,NA,NA,NA,0,hard,sample2
